Date,AVAN,USBN,RDRB
5-Aug-22,835,0.0728,186
4-Aug-22,850,0.0721,186
3-Aug-22,850,0.0734,180
2-Aug-22,835,0.0678,174
1-Aug-22,845,0.0609,180
29-Jul-22,855,0.0622,168
28-Jul-22,840,0.0621,170
27-Jul-22,840,0.0623,160
26-Jul-22,835,0.0634,154
25-Jul-22,850,0.0613,152
22-Jul-22,840,0.0612,154
21-Jul-22,835,0.0607,150
20-Jul-22,830,0.0621,152
19-Jul-22,830,0.0616,152
18-Jul-22,840,0.0621,152
15-Jul-22,825,0.0623,150
14-Jul-22,835,0.0608,152
13-Jul-22,830,0.0608,150
12-Jul-22,840,0.0627,154
11-Jul-22,840,0.063,152
8-Jul-22,855,0.0654,152
7-Jul-22,870,0.0649,152
6-Jul-22,860,0.0655,152
5-Jul-22,830,0.0644,154
4-Jul-22,835,0.0644,152
1-Jul-22,840,0.0645,152
30-Jun-22,825,0.0633,156
29-Jun-22,850,0.0643,158
28-Jun-22,875,0.0633,160
27-Jun-22,865,0.0635,164
24-Jun-22,880,0.0624,164
23-Jun-22,890,0.0622,170
22-Jun-22,890,0.0619,186
21-Jun-22,880,0.0622,194
20-Jun-22,875,0.064,188
17-Jun-22,890,0.0624,174
16-Jun-22,960,0.0615,154
15-Jun-22,940,0.0612,152
14-Jun-22,835,0.0588,150
10-Jun-22,815,0.0595,148
9-Jun-22,815,0.0609,148
8-Jun-22,825,0.0602,152
7-Jun-22,840,0.0592,150
6-Jun-22,850,0.0597,150
3-Jun-22,855,0.0603,152
2-Jun-22,870,0.0628,154
1-Jun-22,855,0.0656,154
31-May-22,855,0.0648,154
30-May-22,875,0.065,154
27-May-22,875,0.065,156
26-May-22,870,0.0658,154
25-May-22,890,0.0665,154
24-May-22,905,0.0655,154
23-May-22,890,0.0691,154
20-May-22,875,0.0697,156
19-May-22,910,0.0699,158
18-May-22,890,0.071,156
17-May-22,905,0.0709,158
16-May-22,905,0.0698,156
13-May-22,910,0.0685,158
12-May-22,895,0.0703,160
11-May-22,890,0.0718,164
6-May-22,895,0.071,162
5-May-22,885,0.0713,168
4-May-22,885,0.0709,164
29-Apr-22,885,0.0721,164
28-Apr-22,885,0.0725,166
27-Apr-22,895,0.0733,162
26-Apr-22,880,0.0719,156
25-Apr-22,870,0.0713,158
22-Apr-22,935,0.0754,156
21-Apr-22,940,0.0746,156
20-Apr-22,910,0.0755,148
19-Apr-22,880,0.075,154
18-Apr-22,895,0.0769,154
15-Apr-22,925,0.0768,156
14-Apr-22,930,0.0771,170
13-Apr-22,"1,020.00",0.0829,182
12-Apr-22,"1,105.00",0.0852,150
11-Apr-22,880,0.08,150
8-Apr-22,895,0.0757,154
7-Apr-22,895,0.0831,154
6-Apr-22,890,0.0918,160
5-Apr-22,900,0.0657,174
4-Apr-22,935,0.0707,150
1-Apr-22,900,0.0693,150
31-Mar-22,875,0.0665,140
30-Mar-22,835,0.059,140
29-Mar-22,825,0.054,150
28-Mar-22,805,0.0514,138.89
28-Feb-22,"1,020.00",0.062,142.98
25-Feb-22,"1,030.00",0.049,181.79
24-Feb-22,850,0.075,177.7
22-Feb-22,945,0.0701,200.17
21-Feb-22,990,0.0803,202.21
18-Feb-22,"1,000.00",0.0837,204.26
17-Feb-22,"1,000.00",0.086,200.17
16-Feb-22,"1,005.00",0.0838,200.17
15-Feb-22,"1,000.00",0.0832,206.3
14-Feb-22,"1,005.00",0.0859,210.38
11-Feb-22,"1,000.00",0.0886,214.47
10-Feb-22,"1,005.00",0.0907,228.77
9-Feb-22,"1,005.00",0.0893,196.09
8-Feb-22,"1,010.00",0.0908,200.17
7-Feb-22,"1,000.00",0.0955,202.21
4-Feb-22,"1,005.00",0.0989,204.26
3-Feb-22,"1,010.00",0.0974,214.47
2-Feb-22,"1,010.00",0.1012,204.26
1-Feb-22,"1,005.00",0.0959,200.17
31-Jan-22,"1,005.00",0.0916,202.21
28-Jan-22,"1,005.00",0.0885,200.17
27-Jan-22,"1,020.00",0.0844,202.21
26-Jan-22,"1,015.00",0.0834,189.96
25-Jan-22,"1,020.00",0.0835,198.13
24-Jan-22,"1,015.00",0.0888,202.21
21-Jan-22,"1,025.00",0.087,196.09
20-Jan-22,"1,035.00",0.0881,192
19-Jan-22,"1,020.00",0.0876,196.09
18-Jan-22,"1,020.00",0.0938,196.09
17-Jan-22,"1,040.00",0.0948,204.26
14-Jan-22,"1,020.00",0.0977,208.34
13-Jan-22,"1,040.00",0.0979,202.21
12-Jan-22,"1,050.00",0.0971,204.26
11-Jan-22,"1,020.00",0.0979,206.3
10-Jan-22,"1,005.00",0.098,206.3
6-Jan-22,"1,025.00",0.0988,206.3
5-Jan-22,"1,020.00",0.1,206.3
4-Jan-22,"1,025.00",0.0977,206.3
3-Jan-22,"1,025.00",0.0881,206.3
